columns : ['rate', 'spread', 'velocity_below', 'silhouette_score', 'firing_rate', 'd_prime', 'nn_hit_rate', 'waveform_duration', 'amplitude', 'cluster_id', 'snr', 'local_index', 'peak_channel_id', 'PT_ratio', 'presence_ratio', 'max_drift', 'cumulative_drift', 'repolarization_slope', 'waveform_halfwidth', 'amplitude_cutoff', 'nn_miss_rate', 'quality', 'velocity_above', 'isolation_distance', 'l_ratio', 'recovery_slope', 'isi_violations']
    Index      rate    spread    velocity_below    silhouette_score    firing_rate    d_prime    nn_hit_rate    waveform_duration    amplitude    cluster_id    snr    local_index    peak_channel_id    PT_ratio    presence_ratio    max_drift    cumulative_drift    repolarization_slope    waveform_halfwidth    amplitude_cutoff    nn_miss_rate  quality      velocity_above    isolation_distance    l_ratio    recovery_slope    isi_violations
---------  --------  --------  ----------------  ------------------  -------------  ---------  -------------  -------------------  -----------  ------------  -----  -------------  -----------------  ----------  ----------------  -----------  ------------------  ----------------------  --------------------  ------------------  --------------  ---------  ----------------  --------------------  ---------  ----------------  ----------------
951763702   2.38003        30            nan                 nan              2.38       4.77           0.98                 1.52        78.67             0   2.09              0          850135036        1.38              0.98        23.02              425.42                    0.1                   0.73                0.5             0     good                   0             63.68              0                -0                 0.44
951763707   0.01147        80            nan                   0.03           0.01       3.48           0                    1.44       105.93             1   1.54              1          850135036        3.02              0.5        nan                   0                       0.05                  2.18                0.5             0     noise                 -0.17          12.27              0.01             -0.39              0
951763711   3.1503         50            nan                   0.17           3.15       6.08           1                    1.04       189.17             2   1.44              2          850135038        2.35              0.99        14.29              328.21                    0.12                  0.91                0.03            0     good                  -0.27          63.87              0                -0.01              0.06
951763715   6.53           40            nan                   0.12           6.53       5.04           0.99                 1.28       191.85             3   1.43              3          850135038        2.05              0.99        27.45              369.58                    0.18                  0.63                0.01            0     good                   0.62          47.54              0                -0.02              0.64
951763720   2.00296        40              0                   0.2            2          6.45           0.99                 0.27       316.89             4   4.28              4          850135044        0.63              0.99        39.21              214.71                    1.37                  0.15                0               0     good                   0.34          59.93              0                -0.29              0.55
951763724   8.66233        60             -7.55                0.22           8.66       3.1            0.86                 0.37       133.85             5   2.22              5          850135044        4.04              0.99        81.75             1245.94                    0.37                  0.23                0.2             0.01  noise                  1.61          41.19              0.03             -0.04              0.55
951763729  11.134          30             -0.69                0.01          11.13       4.61           0.98                 0.32       153.87             6   2.45              6          850135044        3.56              0.85        36.45              484.22                    0.62                  0.16                0.42            0     noise                  0.69          91.43              0                -0.09              0.31
951763733  23.8915         60             -0.27                0.19          23.89       3.2            0.74                 0.38       329.91             7   1.36              7          850135050        0.19              0.99        47.53              107.39                    1.03                  0.25                0               0.05  good                   1.03          94.32              0.04             -0.23              0.11
951763737   1.01848        60             -0.27                0.12           1.02       3.61           0.32                 0.51       251.6              8   3.22              8          850135050        0.93              0.63        36.8                86.37                    0.31                  0.29                0               0     noise                  2.06          34.53              0.01             -0.14              8.63
951763741  11.8133         30            nan                   0.15          11.81       1.99           0.25                 1.21       110.32             9   0.43              9          850135050        0.4               0.93        88.68              774.76                    0.01                  1.29                0.37            0.05  noise                 11.33          34.23              0.09             -0.02              0.06
951763745  13.4006         50             -9.47                0.02          13.4        1.8            0.24                 1.15        95.07            10   0.33             10          850135050        0.43              0.99        98.87              894.51                    0.01                  1.33                0.35            0.05  noise                 14.42          35.34              0.1              -0.02              0.06
951763749  18.2252         60             -8.45                0.01          18.23       1.85           0.35                 1.54        96.28            11   0.32             11          850135050        0.52              0.99       128.7              1059.25                    0.22                nan                   0.28            0.06  noise                 12.02          39.32              0.09             -0.01              0.17
951763753  18.9817         80              9.17                0.1           18.98       2.67           0.89                 1.03        71.72            12   0.22             12          850135050        0.46              0.99        53.35              547.75                    0.04                nan                   0.25            0.01  noise                 -0.86          92.67              0.01            nan                 0.11
951763758  13.2587         20            nan                   0.04          13.26       4.44           0.95                 1.11       147.66            13   0.68             13          850135050        0.49              0.54        29.68              255.01                    0.02                nan                   0.09            0     noise                -25.41          62.62              0.01            nan                 0.27
951763762  17.3762         40              8.93                0.01          17.38       1.74           0.32                 2.01       105.62            14   0.33             14          850135050        0.54              0.91       121.76              921.06                    0.1                 nan                   0.09            0.06  noise                 11.68          37.33              0.1              -1.31              0.07
951763766  12.0932         60             -0.34                0.03          12.09       3.12           0.57                 0.45       259.12            15   0.96             15          850135050        0.06              0.99        49.6               189.29                    0.61                  0.34                0               0.02  noise                  1.37          42.2               0.05             -0.17              0.85
951763770   4.00705       120             -2.35                0.11           4.01       3.16           0.48                 0.71       117.65            16   1.09             16          850135064        0.77              0.98        37.16              253.33                    0.34                  0.08                0.01            0.01  noise                  0.1           37.27              0.03             -0.13              0.03
951763774   5.77131       120             -0.41                0.04           5.77       4.46           0.76                 0.32       107.42            17   2.54             17          850135052        0.51              0.91        41.06              172.15                    0.41                  0.18                0.03            0.01  good                  -0.46          57.82              0.01             -0.09              0.04
951763778   1.15881       120             -0.48               -0.05           1.16       3.27           0.1                  0.32        87.23            18   2.02             18          850135052        0.53              0.88        34.17              152.12                    0.34                  0.18                0.05            0     noise                 -1.77          26.81              0.03             -0.08              0.29
951763782  14.6012         50             -0.34                0.18          14.6        4.91           0.98                 1.3        282.59            19   2.51             19          850135058        4.98              0.99        27.03               92.57                    0.19                nan                   0               0     good                  -0.69          63.43              0                -0.01              0
951763786   7.50032        50             -0.34                0.12           7.5        4.91           0.96                 1.41       223.21            20   1.89             20          850135058       34.12              0.99        33.58              103.36                    0.1                 nan                   0               0     good                   0             58.26              0.01             -0.05              0.02
951763790   0.50676        70             -0.07              nan              0.51       4.22           0.33                 0.48       204.91            21   1.88             21          850135058        0.95              0.66         7.77               24.52                    0.67                  0.18                0.06            0     good                   0.27          36.67              0                -0.13              0.6
951763794  13.4125         40             -0.69                0.08          13.41       3.93           0.91                 0.23       153.74            22   2.27             22          850135060        0.36              0.99        16.81              234.41                    0.65                  0.07                0.28            0     noise                  0.34          59.03              0.01             -0.07              0.06
951763798   3.45524        90             -0.2                 0.08           3.46       3.82           0.65                 0.54       145.9             23   2.16             23          850135060        0.79              0.99        22.86              245.82                    0.44                  0.21                0.5             0     good                  -0.14          38.5               0.02             -0.05              0.16
951763802  14.2516         60             -0.34                0.17          14.25       3.97           0.77                 0.62       229.05            24   3.05             24          850135062        0.43              0.99        41.46              115.68                    0.63                  0.25                0.06            0.01  good                   0.41          55.09              0.02             -0.11              0.17
951763806   2.36639        70             -0.21                0.05           2.37       2.59           0.24                 0.54       192.35            25   1.8              25          850135072        0.45              0.99        17.38              311.82                    0.54                  0.3                 0.05            0     good                   0             26.58              0.07             -0.09              0.19
951763808  10.4327         60             -0.27                0.02          10.43       2.9            0.53                 0.36       300.37            26   1.06             26          850135050        0.08              0.99        49.98              153.06                    0.97                  0.27                0               0.02  good                   1.03          37.43              0.05             -0.21              0.19
951763811   0.91494        50             -0.34               -0.01           0.91       4.15           0.26                 0.54       223.67            27   2.99             27          850135062        0.37              0.94        10.11               49.54                    0.73                  0.22                0.02            0     noise                  0.34          33.34              0.01             -0.08              0.74
951763815   8.95715        70             -0.41               -0              8.96       3.03           0.64                 0.52       195.89            28   2.64             28          850135062        0.49              0.99        20.6               130.53                    0.6                   0.22                0.22            0.01  noise                  0.48          49.55              0.02             -0.11              0.2
951763819   0.69669        70             -0.21                0.04           0.7        3.2            0.3                  0.56       182.87            29   2.46             29          850135062        0.46              0.75        12.96               67.73                    0.49                  0.25                0.2             0     good                   0.41          25.92              0.02             -0.08              0.96
