identifier,size,path,session_time,sub_name,session_id,experiment_id,container_id,group,group_count,imaging_depth,location,fov_height,fov_width,specimen_name,sub_sex,sub_age,sub_genotype,stim_types,#_rois,session_end
3eaf1acf-7a63-4286-a7c0-7a58d8cae2f8,21166274512,sub-684475/sub-684475_ses-1294084428-acq-1294179945-raw-movies_ophys.nwb,2023-08-31 20:49:56.751000+00:00,684475,1294084428,1294179945,0,3,4,271,VISpm,512,512,684475,M,P108.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",18,4228.231917
4cfa15bb-eac7-4273-9141-6d0cc2034506,21161416822,sub-684475/sub-684475_ses-1294084428-acq-1294179943-raw-movies_ophys.nwb,2023-08-31 20:49:56.751000+00:00,684475,1294084428,1294179943,0,3,4,171,VISpm,512,512,684475,M,P108.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",14,4228.231917
d0b9a557-2c98-4fbc-af96-2318e6e5f2eb,21174751013,sub-684475/sub-684475_ses-1293785946-acq-1293914859-raw-movies_ophys.nwb,2023-08-30 21:24:40.992000+00:00,684475,1293785946,1293914859,0,2,4,270,VISl,512,512,684475,M,P107.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",23,4227.550067
6b8f9ba6-2481-4c7b-b78c-38c2b878d246,21157674869,sub-684475/sub-684475_ses-1294084428-acq-1294179942-raw-movies_ophys.nwb,2023-08-31 20:49:56.751000+00:00,684475,1294084428,1294179942,0,2,4,265,VISl,512,512,684475,M,P108.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",11,4228.231917
c407d5e4-9431-4f94-b5d0-2b28069fa244,21179610915,sub-684475/sub-684475_ses-1294259213-acq-1294370666-raw-movies_ophys.nwb,2023-09-01 16:38:17.593000+00:00,684475,1294259213,1294370666,0,3,4,270,VISpm,512,512,684475,M,P109.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",28,4229.257247
51a054d7-0219-4b90-afc0-b982e08dc6a3,21178456215,sub-684475/sub-684475_ses-1294259213-acq-1294370664-raw-movies_ophys.nwb,2023-09-01 16:38:17.593000+00:00,684475,1294259213,1294370664,0,3,4,170,VISpm,512,512,684475,M,P109.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",27,4229.257247
8079f608-c4ab-44cc-a0d6-192fe92256bc,21203027207,sub-684475/sub-684475_ses-1293785946-acq-1293914856-raw-movies_ophys.nwb,2023-08-30 21:24:40.992000+00:00,684475,1293785946,1293914856,0,2,4,170,VISl,512,512,684475,M,P107.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",46,4227.550067
5998d11e-ad0a-41c5-ab95-ab85b70789b0,21155054332,sub-684475/sub-684475_ses-1294259213-acq-1294370663-raw-movies_ophys.nwb,2023-09-01 16:38:17.593000+00:00,684475,1294259213,1294370663,0,2,4,270,VISl,512,512,684475,M,P109.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",8,4229.257247
e09507b2-a424-4416-82d1-7bf772b41960,21160025671,sub-684475/sub-684475_ses-1293785946-acq-1293914853-raw-movies_ophys.nwb,2023-08-30 21:24:40.992000+00:00,684475,1293785946,1293914853,0,1,4,170,VISam,512,512,684475,M,P107.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",11,4227.550067
453fbf76-b589-4b24-9134-d91123bd7f36,21187144144,sub-684475/sub-684475_ses-1293785946-acq-1293914860-raw-movies_ophys.nwb,2023-08-30 21:24:40.992000+00:00,684475,1293785946,1293914860,0,3,4,170,VISpm,512,512,684475,M,P107.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",33,4227.550067
